Row;Strongylocentrotus_purpuratus;Homarus_americanus;Lingula_unguis;Octopus_vulgaris;Lottia_gigantea;Elysia_chlorotica;Pomacea_canaliculata;Potamilus_streckersoni;Magallana_gigas;Crassostrea_virginica;Pinctada_imbricata;Mytilus_edulis;Mizuhopecten_yessoensis;Dreissena_polymorpha;Leukoma_staminea
T2_TRINITY_DN738_c0_g1;0;0;0;0;0;0;0;1;0;0;0;1;0;1;1
T2_TRINITY_DN75274_c0_g2;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1
T2_TRINITY_DN7532_c5_g2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN75738_c0_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN77325_c0_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN78165_c0_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN78490_c1_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN7894_c3_g5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN7963_c1_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN80139_c1_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN8061_c1_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN80894_c0_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
T2_TRINITY_DN8135_c2_g2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN81763_c0_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN81960_c0_g1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1
T2_TRINITY_DN8702_c0_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN87287_c1_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN898_c3_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN93135_c0_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN9493_c4_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN95977_c0_g1;0;0;1;0;1;0;0;1;1;1;1;1;1;1;1
T2_TRINITY_DN9672_c17_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN9707_c2_g1;0;0;0;0;0;0;0;0;1;1;0;0;1;1;1
T2_TRINITY_DN9763_c0_g3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN97960_c0_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN98260_c1_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
